	V1	V2
663	Aqu2.1.01994_001	NA
664	Aqu2.1.01995_001	NA
665	Aqu2.1.01996_001	NA
666	Aqu2.1.01999_001	NA
667	Aqu2.1.02000_001	NA
668	Aqu2.1.02005_001	NA
669	Aqu2.1.02009_001	NA
670	Aqu2.1.02013_001	NA
671	Aqu2.1.02032_001	NA
672	Aqu2.1.02044_001	NA
673	Aqu2.1.02047_001	NA
674	Aqu2.1.02053_001	NA
675	Aqu2.1.02054_001	NA
676	Aqu2.1.02058_001	NA
677	Aqu2.1.02060_001	NA
678	Aqu2.1.02061_001	NA
679	Aqu2.1.02067_001	NA
680	Aqu2.1.02073_001	NA
681	Aqu2.1.02075_001	NA
682	Aqu2.1.02077_001	NA
683	Aqu2.1.02084_001	NA
684	Aqu2.1.02092_001	NA
685	Aqu2.1.02093_001	NA
686	Aqu2.1.02094_001	NA
687	Aqu2.1.02095_001	NA
688	Aqu2.1.02097_001	NA
689	Aqu2.1.02101_001	NA
690	Aqu2.1.02102_001	NA
691	Aqu2.1.02105_001	NA
692	Aqu2.1.02108_001	NA
693	Aqu2.1.02109_001	NA
694	Aqu2.1.02114_001	NA
695	Aqu2.1.02116_001	NA
696	Aqu2.1.02119_001	NA
697	Aqu2.1.02122_001	NA
698	Aqu2.1.02123_001	NA
699	Aqu2.1.02126_001	NA
700	Aqu2.1.02131_001	NA
701	Aqu2.1.02142_001	NA
702	Aqu2.1.02143_001	NA
703	Aqu2.1.02145_001	NA
704	Aqu2.1.02146_001	NA
705	Aqu2.1.02155_001	NA
706	Aqu2.1.02159_001	NA
707	Aqu2.1.02160_001	NA
708	Aqu2.1.02161_001	NA
709	Aqu2.1.02162_001	NA
710	Aqu2.1.02165_001	NA
711	Aqu2.1.02167_001	NA
712	Aqu2.1.02174_001	NA
713	Aqu2.1.02179_001	NA
714	Aqu2.1.02183_001	NA
715	Aqu2.1.02185_001	NA
716	Aqu2.1.02187_001	NA
717	Aqu2.1.02194_001	NA
718	Aqu2.1.02198_001	NA
719	Aqu2.1.02199_001	NA
720	Aqu2.1.02201_001	NA
721	Aqu2.1.02202_001	NA
722	Aqu2.1.02207_001	NA
723	Aqu2.1.02209_001	NA
724	Aqu2.1.02211_001	NA
725	Aqu2.1.02220_001	NA
726	Aqu2.1.02222_001	NA
727	Aqu2.1.02229_001	NA
728	Aqu2.1.02232_001	NA
729	Aqu2.1.02244_001	NA
730	Aqu2.1.02245_001	NA
731	Aqu2.1.02246_001	NA
732	Aqu2.1.02250_001	NA
733	Aqu2.1.02251_001	NA
734	Aqu2.1.02252_001	NA
735	Aqu2.1.02259_001	NA
736	Aqu2.1.02261_001	NA
737	Aqu2.1.02273_001	NA
738	Aqu2.1.02275_001	NA
739	Aqu2.1.02276_001	NA
740	Aqu2.1.02278_001	NA
741	Aqu2.1.02286_001	NA
742	Aqu2.1.02292_001	NA
743	Aqu2.1.02297_001	NA
744	Aqu2.1.02303_001	NA
745	Aqu2.1.02306_001	NA
746	Aqu2.1.02310_001	NA
747	Aqu2.1.02315_001	NA
748	Aqu2.1.02316_001	NA
749	Aqu2.1.02321_001	NA
750	Aqu2.1.02328_001	NA
751	Aqu2.1.02331_001	NA
752	Aqu2.1.02340_001	NA
753	Aqu2.1.02345_001	NA
754	Aqu2.1.02347_001	NA
755	Aqu2.1.02362_001	NA
756	Aqu2.1.02369_001	NA
757	Aqu2.1.02373_001	NA
758	Aqu2.1.02382_001	NA
759	Aqu2.1.02387_001	NA
760	Aqu2.1.02392_001	NA
761	Aqu2.1.02396_001	NA
762	Aqu2.1.02398_001	NA
763	Aqu2.1.02403_001	NA
764	Aqu2.1.02406_001	NA
765	Aqu2.1.02410_001	NA
766	Aqu2.1.02418_001	NA
767	Aqu2.1.02419_001	NA
768	Aqu2.1.02421_001	NA
769	Aqu2.1.02425_001	NA
770	Aqu2.1.02443_001	NA
771	Aqu2.1.02447_001	NA
772	Aqu2.1.02450_001	NA
773	Aqu2.1.02457_001	NA
774	Aqu2.1.02459_001	NA
775	Aqu2.1.02463_001	NA
776	Aqu2.1.02466_001	NA
777	Aqu2.1.02468_001	NA
778	Aqu2.1.02478_001	NA
779	Aqu2.1.02479_001	NA
780	Aqu2.1.02488_001	NA
781	Aqu2.1.02489_001	NA
782	Aqu2.1.02497_001	NA
783	Aqu2.1.02499_001	NA
784	Aqu2.1.02508_001	NA
785	Aqu2.1.02509_001	NA
786	Aqu2.1.02514_001	NA
